Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Justin Crawford","PHI",110,476,432,120,90,20,3,7,63,48,35,0,99,2,3,4,,25,6,0.276442,0.0730216,0.20706,0.352658,0.33106,0.382986,0.313942,0.714046,0.106544,6.49127,0.342004,-0.0240654,1.49436,56.586,0.342904,99.0353,1.47029,-1.34229,0.9260321855545044,0.2577141523361206,1.7414,999,,,,,,,522.6,4.75090909,522.6,4.75090909,,,,,,,,,,,,,,,,,,,"Justin Crawford","sa3020240",702222
"Ha-Seong Kim","ATL",96,413,360,88,62,16,1,9,47,42,44,1,74,4,3,2,,15,4,0.24438,0.106854,0.179265,0.596069,0.329886,0.367671,0.309028,0.697557,0.123291,5.1978,0.282118,0.0279135,0.714874,47.4489,-1.35026,96.8085,0.742787,-0.374675,-0.8194034099578857,4.050325036048889,1.7364,742.8400268554688,,,,,,,430.8,4.4875,430.8,4.4875,,,,,,,,,,,,,,,,,,,"Ha-Seong Kim","27506",673490
"Josh Jung","TEX",128,553,515,128,85,24,1,18,60,66,30,0,140,4,3,1,,4,1,0.248293,0.0549334,0.252892,0.217221,0.293807,0.404351,0.302855,0.698158,0.156058,3.39497,0.305772,-0.688177,-0.526234,60.7614,-4.57977,94.5745,-1.21441,0.416348,-4.750592827796936,2.391347974538803,1.70597,631.280029296875,,,,,,,553.1,4.32109375,553.1,4.32109375,,,,,,,,,,,,,,,,,,,"Josh Jung","26299",673962
"Nolan Schanuel","LAA",143,616,532,141,100,25,1,15,74,65,69,3,85,9,4,2,,6,1,0.26519,0.111572,0.13793,0.808902,0.356561,0.401825,0.33415,0.758386,0.136635,3.58641,0.288588,-0.865608,-0.588553,83.3352,10.55,113.549,-1.45416,-1.93729,8.382634282112122,-12.937291026115417,1.7032,570.72998046875,,,,,,,719.4,5.03076923,719.4,5.03076923,,,,,,,,,,,,,,,,,,,"Nolan Schanuel","33189",694384
"Kerry Carpenter","DET",113,490,449,116,67,20,4,24,63,78,32,2,116,6,3,0,,2,2,0.25757,0.0649389,0.237247,0.273719,0.313956,0.481422,0.339111,0.795378,0.223852,3.99682,0.293328,-0.154284,-0.85084,68.263,10.3658,117.894,-1.00512,-0.300204,9.328860640525818,-9.850204348564148,1.67216,235.5500030517578,,,,,,,619.2,5.479646017,619.2,5.479646017,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
"Nick Gonzales","PIT",97,420,384,101,67,23,4,8,46,45,27,0,86,6,4,1,,2,2,0.263897,0.0634377,0.204039,0.31091,0.318078,0.405477,0.314641,0.723554,0.141579,4.0938,0.317791,0.129995,-0.938954,50.167,0.540807,99.2409,-0.808959,0.73512,-1.1868477165699005,3.4851197600364685,1.66481,999,,,,,,,443.5,4.572164948,443.5,4.572164948,,,,,,,,,,,,,,,,,,,"Nick Gonzales","27490",693304
"Ryan McMahon","NYY",113,490,427,90,56,17,1,17,54,55,56,2,156,3,3,1,,3,2,0.210724,0.113368,0.318507,0.355934,0.304154,0.370624,0.297511,0.674778,0.159899,3.06762,0.285211,0.0797333,-0.900678,51.7132,-6.1841,90.616,-0.820945,3.87715,-6.240423381328583,5.627154588699341,1.66276,731.469970703125,,,,,,,468.9,4.149557522,468.9,4.149557522,,,,,,,,,,,,,,,,,,,"Ryan McMahon","15112",641857
"Gavin Lux","TBR",105,455,402,103,73,21,2,7,52,42,47,0,99,2,3,1,,3,1,0.256964,0.104238,0.21671,0.481002,0.336103,0.373278,0.314653,0.709381,0.116314,3.74481,0.321432,0.0744661,-0.623787,54.3522,0.590411,100.414,-0.54932,-0.896943,-0.32705147564411163,0.7780573964118958,1.64839,747.1900024414062,,,,,,,462.8,4.407619047,462.8,4.407619047,,,,,,,,,,,,,,,,,,,"Gavin Lux","19955",666158
"Kyle Teel","CHW",94,380,332,82,58,14,1,10,45,41,41,0,96,3,2,1,,5,2,0.247348,0.10896,0.252213,0.432015,0.334537,0.380645,0.31729,0.715182,0.133297,3.91713,0.316786,-0.147914,-0.287315,46.158,1.30531,102.856,-0.435229,-1.05037,0.842581570148468,1.9996339082717896,1.64833,224.83999633789062,,,,,,,403.4,4.291489361,403.4,4.291489361,,,,,,,,,,,,,,,,,,,"Kyle Teel","33549",691019
"Pedro Pagés","STL",91,358,327,74,50,14,1,10,34,39,24,1,92,3,3,2,,1,0,0.227877,0.0663,0.256802,0.258176,0.283756,0.36608,0.283333,0.649836,0.138203,2.95633,0.283233,-0.345709,-0.367356,33.699,-8.64869,81.8255,-0.713065,2.7284,-8.433211863040924,9.728400468826294,1.64764,999,,,,,,,310.6,3.413186813,310.6,3.413186813,,,,,,,,,,,,,,,,,,,"Pedro Pages","25782",686780
"Victor Scott II","STL",133,574,509,115,85,20,3,8,64,49,46,0,123,9,4,6,,38,7,0.226325,0.0798832,0.214355,0.372667,0.299322,0.324525,0.279195,0.623847,0.0982,6.69892,0.279585,0.270874,3.77701,52.0425,-15.78,78.9905,4.04789,5.19801,-10.245035648345947,7.24801230430603,1.64724,367.989990234375,,,,,,,502.9,3.781203007,502.9,3.781203007,,,,,,,,,,,,,,,,,,,"Victor Scott II","31349",687363
"Kyle Manzardo","CLE",120,518,454,109,62,23,1,23,61,71,52,2,121,6,5,0,,2,0,0.239602,0.101058,0.234195,0.43151,0.322688,0.449137,0.332315,0.771825,0.209535,3.06504,0.271584,-0.0326295,-0.523388,69.3057,8.10005,114.648,-0.556017,0.0631847,8.386731743812561,-10.236815489828587,1.63481,245.3800048828125,,,,,,,622.8,5.19,622.8,5.19,,,,,,,,,,,,,,,,,,,"Kyle Manzardo","29794",700932
"Christian Walker","HOU",138,595,530,122,71,23,1,27,70,80,51,2,155,9,5,0,,3,1,0.231158,0.0849528,0.260905,0.325609,0.305938,0.430471,0.317757,0.73641,0.199313,3.15481,0.271159,-0.586306,-0.643546,72.5753,2.27149,104.01,-1.22985,4.52509,1.5823729038238525,-6.149913787841797,1.62793,208.49000549316406,,,,,,,662.3,4.799275362,662.3,4.799275362,,,,,,,,,,,,,,,,,,,"Christian Walker","13419",572233
"Brayan Rocchio","CLE",117,504,449,107,72,24,2,10,57,51,41,0,93,7,4,3,,12,5,0.239026,0.0806929,0.185001,0.436175,0.309639,0.36649,0.298251,0.676129,0.127464,4.8136,0.278393,-0.112451,-0.360759,53.4937,-6.05783,91.1823,-0.47321,0.551122,-5.711108982563019,4.201122045516968,1.62031,999,,,,,,,478,4.085470085,478,4.085470085,,,,,,,,,,,,,,,,,,,"Brayan Rocchio","23690",677587
"Jordan Lawlar","ARI",113,490,436,103,65,25,3,11,59,53,42,1,127,6,3,2,,18,4,0.237211,0.0866053,0.259481,0.333763,0.312141,0.382827,0.304694,0.694968,0.145617,6.37616,0.308038,0.175424,1.10581,54.5709,-3.32642,93.3259,1.28123,0.722029,-2.5947362184524536,2.122029423713684,1.61958,275.260009765625,,,,,,,500.8,4.431858407,500.8,4.431858407,,,,,,,,,,,,,,,,,,,"Jordan Lawlar","29976",691783
"Eugenio Suárez","CIN",143,616,546,128,69,23,1,35,79,97,53,1,185,11,6,0,,3,1,0.234959,0.0858426,0.300795,0.285386,0.311738,0.474455,0.336306,0.786193,0.239496,3.09599,0.280369,-1.19728,-0.6916,84.4136,11.6285,111.085,-1.88888,0.00863976,6.20441997051239,-11.04136043228209,1.60196,101.02999877929688,,,,,,,767.1,5.364335664,767.1,5.364335664,,,,,,,,,,,,,,,,,,,"Eugenio Suarez","12552",553993
"Brandon Marsh","PHI",115,497,440,113,73,23,3,14,59,59,49,1,141,3,5,2,,10,3,0.2561,0.0980732,0.282918,0.346648,0.33077,0.415009,0.324721,0.745779,0.158909,5.08983,0.340582,0.280826,0.0183728,63.4318,4.70742,106.419,0.299199,-1.28565,4.080321788787842,-5.01064670085907,1.59659,642.2999877929688,,,,,,,574.8,4.998260869,574.8,4.998260869,,,,,,,,,,,,,,,,,,,"Brandon Marsh","20202",669016
"Jared Triolo","PIT",120,518,454,111,78,22,3,9,58,48,55,1,118,4,3,2,,14,4,0.244745,0.105719,0.227223,0.465265,0.329345,0.363058,0.307542,0.692404,0.118313,5.38697,0.309334,-0.128876,0.454952,58.8872,-2.3185,94.378,0.326076,-0.540322,-3.125477969646454,1.459677517414093,1.59282,735.0800170898438,,,,,,,525.5,4.379166666,525.5,4.379166666,,,,,,,,,,,,,,,,,,,"Jared Triolo","25807",669707
"Mike Yastrzemski","ATL",110,476,412,94,53,21,3,17,59,53,55,2,112,4,3,2,,5,2,0.228618,0.115228,0.235362,0.489576,0.323036,0.415829,0.32132,0.738865,0.187211,4.66467,0.270534,-0.0261187,-0.561299,59.4371,3.19403,105.229,-0.587418,2.31965,2.3623448610305786,-2.7803473472595215,1.57752,660.9400024414062,,,,,,,533.1,4.846363636,533.1,4.846363636,,,,,,,,,,,,,,,,,,,"Mike Yastrzemski","14854",573262
"Luis García Jr.","WSN",115,497,463,126,85,24,2,15,59,64,27,1,77,2,4,0,,13,5,0.272092,0.0550223,0.155655,0.353489,0.312223,0.430168,0.319521,0.742391,0.158076,4.78136,0.295328,-0.0283398,-0.172581,61.3335,2.60913,104.487,-0.200921,-0.194603,2.4423951506614685,-3.5696030408143997,1.57644,252.25,,,,,,,562.3,4.889565217,562.3,4.889565217,,,,,,,,,,,,,,,,,,,"Luis Garcia Jr.","20391",671277
"Ryan O'Hearn","PIT",126,546,486,130,88,25,1,15,64,63,50,3,103,6,4,0,,3,1,0.267219,0.0922228,0.18882,0.488416,0.340584,0.419775,0.330691,0.760359,0.152556,3.37656,0.308299,-0.509262,-0.727338,72.3322,7.81809,110.236,-1.2366,-0.436167,5.387189269065857,-8.436166763305664,1.54661,279.1499938964844,,,,,,,632.1,5.016666666,632.1,5.016666666,,,,,,,,,,,,,,,,,,,"Ryan O'Hearn","16442",656811
"Adolis García","PHI",141,609,556,134,78,27,1,28,75,88,41,1,160,6,5,1,,13,4,0.241157,0.0672191,0.262641,0.255936,0.298053,0.441941,0.317567,0.739995,0.200784,4.26307,0.285022,0.0259936,0.056289,74.1891,2.23106,101.518,0.0822825,0.176363,1.1782933324575424,-6.348637104034424,1.54402,217.22000122070312,,,,,,,696.1,4.936879432,696.1,4.936879432,,,,,,,,,,,,,,,,,,,"Adolis Garcia","19287",666969
"Sal Stewart","CIN",117,504,454,120,76,25,0,18,65,69,40,0,96,5,4,0,,8,2,0.263829,0.0797134,0.189659,0.4203,0.327974,0.439955,0.332936,0.767929,0.176126,3.82826,0.295357,0.0245409,0.00166112,67.6866,8.1351,108.777,0.026202,1.59056,5.268872037529945,-7.009440541267395,1.53752,178.13999938964844,,,,,,,604.3,5.164957264,604.3,5.164957264,,,,,,,,,,,,,,,,,,,"Sal Stewart","31505",701398
"Brooks Lee","MIN",138,595,547,135,92,25,2,16,63,68,39,1,101,3,5,1,,4,1,0.24767,0.0656888,0.168978,0.388742,0.299407,0.389464,0.299639,0.688871,0.141794,3.41058,0.273927,-0.492294,-0.530425,63.8228,-6.481,90.1961,-1.02272,-3.86659,-7.897978067398071,2.4084115028381348,1.5336,518.1400146484375,,,,,,,574.1,4.160144927,574.1,4.160144927,,,,,,,,,,,,,,,,,,,"Brooks Lee","31595",686797
"Connor Norby","MIA",117,504,458,112,72,23,2,15,62,59,36,0,135,5,4,1,,9,3,0.244909,0.0718653,0.26819,0.267964,0.304448,0.402644,0.307795,0.707092,0.157734,4.65622,0.311067,-0.267225,-0.219211,57.3989,-2.15262,95.0933,-0.486436,0.178773,-3.4174376130104065,1.4287733137607574,1.51213,730.719970703125,,,,,,,520,4.444444444,520,4.444444444,,,,,,,,,,,,,,,,,,,"Connor Norby","29592",681393
"Garrett Mitchell","MIL",92,399,353,84,54,17,3,9,48,44,38,0,119,4,2,2,,14,4,0.238479,0.0959151,0.298843,0.320955,0.317319,0.385318,0.309167,0.702636,0.146839,6.4291,0.32947,0.0903133,0.724032,45.8853,-1.25967,98.1288,0.814346,0.370642,-0.0705263614654541,1.4956420063972473,1.50399,690.5499877929688,,,,,,,409.8,4.454347826,409.8,4.454347826,,,,,,,,,,,,,,,,,,,"Garrett Mitchell","27555",669003
"Brett Baty","NYM",100,434,391,98,64,15,1,17,52,55,36,0,106,3,2,1,,5,1,0.249377,0.0837513,0.244725,0.342226,0.316757,0.42387,0.322004,0.740626,0.174493,3.98109,0.297995,-0.0946075,-0.240235,54.4338,3.15338,109.469,-0.334843,0.684012,4.536057382822037,-4.315987944602966,1.49984,294.7799987792969,,,,,,,490.5,4.905,490.5,4.905,,,,,,,,,,,,,,,,,,,"Brett Baty","26123",683146
"Parker Meadows","DET",97,420,373,86,55,15,5,11,51,46,39,1,104,3,3,2,,11,3,0.231031,0.0937918,0.247571,0.378848,0.306365,0.385476,0.302426,0.691841,0.154445,6.70662,0.288467,0.309785,0.504207,46.0016,-3.62467,92.6227,0.813992,1.39996,-2.8379154205322266,2.8999606370925903,1.48535,999,,,,,,,422.5,4.355670103,422.5,4.355670103,,,,,,,,,,,,,,,,,,,"Parker Meadows","23800",678009
"Samuel Basallo","BAL",107,445,402,96,55,20,0,21,53,62,36,2,110,4,3,0,,2,1,0.239279,0.0809038,0.247231,0.32724,0.306655,0.447557,0.323978,0.754212,0.208278,2.58443,0.274462,-0.0128106,-0.621577,56.5519,3.94806,109.164,-0.634387,-1.61578,4.174273669719696,-4.665777802467346,1.48369,172.25999450683594,,,,,,,512,4.785046728,512,4.785046728,,,,,,,,,,,,,,,,,,,"Samuel Basallo","28824",694212
"Ke'Bryan Hayes","CIN",123,532,488,119,87,20,2,10,55,53,36,1,107,4,3,1,,11,3,0.244207,0.0678306,0.200414,0.338453,0.300202,0.355098,0.288207,0.6553,0.110891,4.92333,0.291577,0.176106,0.188156,52.1274,-10.7325,78.1364,0.364262,8.1974,-13.421389371156693,10.097400069236755,1.47082,999,,,,,,,474.3,3.85609756,474.3,3.85609756,,,,,,,,,,,,,,,,,,,"Ke'Bryan Hayes","18577",663647
"Dylan Beavers","BAL",89,385,333,82,53,15,2,12,48,44,45,1,89,2,3,2,,10,3,0.246146,0.116864,0.230928,0.50606,0.337541,0.406821,0.32674,0.744362,0.160674,5.0712,0.299199,-0.0252727,0.0374456,49.7684,4.27764,111.067,0.012173,-0.511874,5.034043573774397,-4.136874198913574,1.44754,424.3599853515625,,,,,,,445.5,5.005617977,445.5,5.005617977,,,,,,,,,,,,,,,,,,,"Dylan Beavers","31695",687637
"Cole Young","SEA",91,392,344,81,56,16,2,7,44,40,38,1,67,5,3,2,,5,2,0.236319,0.0981613,0.1704,0.576063,0.320757,0.357641,0.30149,0.678398,0.121322,4.63476,0.27286,0.0234895,-0.551966,42.6372,-3.68064,98.7608,-0.528477,0.0292227,-1.1010275483131409,1.5292227379977703,1.42421,999,,,,,,,366.1,4.023076923,366.1,4.023076923,,,,,,,,,,,,,,,,,,,"Cole Young","31680",702284
"Daylen Lile","WSN",133,574,524,140,93,26,10,11,68,66,38,0,103,7,4,1,,14,6,0.267257,0.0662433,0.178711,0.370672,0.322492,0.41847,0.321379,0.740961,0.151213,6.63955,0.310947,0.621466,-0.332947,71.7018,3.87928,105.76,0.288519,-1.6794,4.207284897565842,-9.429397344589233,1.41959,206.27999877929688,,,,,,,640.6,4.816541353,640.6,4.816541353,,,,,,,,,,,,,,,,,,,"Daylen Lile","29995",695734
"Josh Smith","TEX",117,504,440,107,74,22,2,10,59,46,48,1,95,10,3,2,,9,3,0.244292,0.0958924,0.187963,0.510167,0.33152,0.370165,0.311472,0.701685,0.125874,4.63616,0.28827,-0.0170135,-0.173426,58.9038,-0.647666,100.511,-0.19044,-5.10486,0.11301431059837341,-3.654855489730835,1.41243,495.94000244140625,,,,,,,511.1,4.368376068,511.1,4.368376068,,,,,,,,,,,,,,,,,,,"Josh Smith","26396",669701
"Chase DeLauter","CLE",113,490,437,109,70,24,1,14,58,55,46,0,89,2,4,1,,3,2,0.248595,0.09435,0.182043,0.518283,0.320136,0.404746,0.316776,0.724882,0.156151,2.85682,0.279258,-0.0316119,-0.919376,59.3774,1.4801,103.943,-0.950988,0.461872,1.3262664079666138,-4.388127535581589,1.41223,999,,,,,,,524.4,4.640707964,524.4,4.640707964,,,,,,,,,,,,,,,,,,,"Chase DeLauter","32127",800050
"Salvador Perez","KCR",151,618,572,144,89,26,1,27,65,89,31,5,129,11,4,0,,0,0,0.251036,0.0493978,0.208502,0.236918,0.299484,0.442448,0.316196,0.741932,0.191412,1.64849,0.277006,-2.15442,-0.812375,74.5973,1.57583,99.3425,-2.96679,-2.51545,-3.445710778236389,-1.4904522895812988,1.40246,91.72000122070312,,,,,,,695.3,4.604635761,695.3,4.604635761,,,,,,,,,,,,,,,,,,,"Salvador Perez","7304",521692
"Jac Caglianone","KCR",105,455,411,105,65,19,1,20,56,62,35,2,97,6,3,0,,3,1,0.254804,0.0762679,0.214244,0.355987,0.320143,0.450242,0.33167,0.770384,0.195438,3.45595,0.286192,0.0334713,-0.52064,60.6385,6.87676,110.002,-0.487169,-1.23955,4.8767834305763245,-6.91455340385437,1.39376,182.50999450683594,,,,,,,551.7,5.254285714,551.7,5.254285714,,,,,,,,,,,,,,,,,,,"Jac Caglianone","35041",695506
"Yoán Moncada","LAA",105,455,405,97,60,20,2,15,51,54,42,1,124,5,2,0,,1,0,0.23941,0.0924726,0.273454,0.338165,0.31768,0.407522,0.316514,0.725202,0.168113,3.28763,0.306794,-0.29795,-0.530189,55.0397,1.27792,101.401,-0.828138,-2.42578,-0.07705163955688477,-2.000783085823059,1.38966,743.2999877929688,,,,,,,491.5,4.68095238,491.5,4.68095238,,,,,,,,,,,,,,,,,,,"Yoan Moncada","17232",660162
"Tyler O'Neill","BAL",100,434,381,90,53,16,1,21,56,59,44,2,123,5,4,0,,5,1,0.235451,0.101843,0.283961,0.358653,0.319668,0.443452,0.328697,0.763119,0.208001,3.94281,0.286432,0.0226461,-0.114152,56.7922,5.51176,112.415,-0.0915061,-1.18147,6.259207598865032,-7.631474614143372,1.3879,518.3699951171875,,,,,,,526.2,5.262,526.2,5.262,,,,,,,,,,,,,,,,,,,"Tyler O'Neill","15711",641933
"Agustín Ramírez","MIA",122,500,454,111,66,25,1,19,63,65,37,2,98,6,3,0,,12,3,0.243714,0.0742579,0.195644,0.379555,0.306655,0.4265,0.316485,0.733155,0.182786,4.88004,0.270211,-0.379941,0.514832,60.4469,1.39167,101.046,0.134891,-3.80258,0.7546637654304504,-4.3275837898254395,1.38054,83.4000015258789,,,,,,,567.8,4.65409836,567.8,4.65409836,,,,,,,,,,,,,,,,,,,"Agustin Ramirez","26546",682663
"Davis Schneider","TOR",75,322,274,60,34,12,1,12,40,39,42,0,92,4,2,1,,4,1,0.219795,0.129115,0.284264,0.45421,0.327881,0.407191,0.323515,0.735072,0.187395,4.45324,0.278348,-0.121609,-0.081771,40.7812,2.73445,108.005,-0.20338,1.22126,2.834459900856018,-0.42873501777648926,1.38004,999,,,,,,,358.1,4.774666666,358.1,4.774666666,,,,,,,,,,,,,,,,,,,"Davis Schneider","23565",676914
"Nolan Gorman","STL",123,532,472,104,60,19,0,24,63,69,54,1,171,2,4,1,,4,1,0.220366,0.101026,0.320651,0.315065,0.300443,0.415571,0.310376,0.716014,0.195206,3.0755,0.284666,-0.941269,-0.506275,61.7026,-1.1573,100.35,-1.44754,0.508952,-1.2265469878911972,-2.9910483360290527,1.3794,690.02001953125,,,,,,,563.9,4.584552845,563.9,4.584552845,,,,,,,,,,,,,,,,,,,"Nolan Gorman","22263",669357
"Marcell Ozuna","PIT",122,525,452,111,69,19,0,23,63,70,65,1,128,3,4,0,,0,0,0.246307,0.124454,0.243844,0.510384,0.342625,0.440728,0.340762,0.783352,0.194421,1.47428,0.290421,-0.695805,-0.876032,73.8431,11.8103,117.135,-1.57184,0,9.090060114860535,-13.125,1.37426,363.0899963378906,,,,,,,644.9,5.286065573,644.9,5.286065573,,,,,,,,,,,,,,,,,,,"Marcell Ozuna","10324",542303
"Jose Trevino","CIN",71,282,261,63,44,12,1,7,29,29,16,0,42,2,2,1,,1,0,0.240355,0.0559193,0.149794,0.373308,0.285669,0.367085,0.284988,0.652754,0.12673,2.779,0.261937,-0.160352,-0.349479,26.8562,-6.41704,75.931,-0.509831,3.20321,-8.542957723140717,8.703206539154053,1.35474,999,,,,,,,254,3.577464788,254,3.577464788,,,,,,,,,,,,,,,,,,,"Jose Trevino","16725",624431
"Jesús Sánchez","TOR",97,420,379,93,58,19,2,15,51,52,36,1,102,3,2,0,,9,2,0.245906,0.0847368,0.242597,0.34929,0.313493,0.424332,0.319699,0.737826,0.178426,5.02442,0.295352,-0.0599418,0.243093,51.8918,2.26561,105.376,0.183151,0.537966,2.844481498003006,-4.162033557891846,1.3442,581.4400024414062,,,,,,,477.8,4.925773195,477.8,4.925773195,,,,,,,,,,,,,,,,,,,"Jesus Sanchez","19913",660821
"Bryan Reynolds","PIT",149,644,576,146,94,30,3,19,73,76,56,2,158,8,4,0,,5,2,0.252705,0.0866584,0.244847,0.353929,0.32491,0.41406,0.321883,0.73897,0.161355,3.91007,0.313375,-0.0243736,-0.738338,80.7093,4.61573,104.202,-0.762711,-3.4328,2.4443506002426147,-10.832797527313232,1.33391,203.5500030517578,,,,,,,720.2,4.833557046,720.2,4.833557046,,,,,,,,,,,,,,,,,,,"Bryan Reynolds","19326",668804
"Josh Lowe","LAA",115,497,450,113,71,25,2,15,59,57,39,2,133,3,3,1,,21,4,0.250667,0.0794646,0.268461,0.296001,0.31253,0.41645,0.315087,0.72898,0.165783,5.94785,0.320343,-0.208036,2.02777,59.5445,0.820087,100.418,1.81974,-1.07055,2.0643593817949295,-6.2955451011657715,1.31725,305.5,,,,,,,562.4,4.890434782,562.4,4.890434782,,,,,,,,,,,,,,,,,,,"Josh Lowe","19953",666139
"Jo Adell","LAA",141,609,554,130,72,24,1,33,73,93,42,1,164,10,3,1,,9,4,0.23526,0.0686338,0.268705,0.255424,0.298551,0.462216,0.326026,0.760766,0.226955,4.09633,0.27011,-0.140841,-0.676591,78.3713,6.41325,107.952,-0.817433,-7.76258,4.890668511390686,-12.9875807762146,1.31614,119.16000366210938,,,,,,,721.4,5.116312056,721.4,5.116312056,,,,,,,,,,,,,,,,,,,"Jo Adell","20220",666176
"Cedric Mullins","TBR",110,476,424,95,60,20,1,14,55,53,43,0,108,4,4,2,,20,4,0.225093,0.089979,0.227528,0.395464,0.299707,0.380362,0.298498,0.680068,0.155269,5.61444,0.265717,-0.307174,1.37675,50.6173,-5.62577,89.2858,1.06957,0.0255004,-4.9413275718688965,1.3255003299564123,1.30626,325.42999267578125,,,,,,,471.1,4.282727272,471.1,4.282727272,,,,,,,,,,,,,,,,,,,"Cedric Mullins","17929",656775
"Denzel Clarke","ATH",97,420,377,86,55,19,4,9,50,44,33,0,139,7,2,2,,14,3,0.22873,0.0775436,0.332086,0.233504,0.3006,0.369253,0.295095,0.669854,0.140523,6.94583,0.335111,0.0619414,0.870374,43.5019,-6.12436,85.0043,0.932316,3.14311,-6.49082624912262,4.6431145668029785,1.28996,739.22998046875,,,,,,,405.3,4.178350515,405.3,4.178350515,,,,,,,,,,,,,,,,,,,"Denzel Clarke","29858",672016
"Kyle Isbel","KCR",113,490,445,108,74,20,5,9,58,48,31,0,96,5,4,6,,9,4,0.243123,0.0625569,0.195021,0.320771,0.296545,0.370849,0.291855,0.667395,0.127727,5.85627,0.288881,0.546465,-0.456556,49.463,-8.43425,82.5748,0.0899088,3.71722,-9.973509632050991,5.46721887588501,1.26445,999,,,,,,,444.8,3.936283185,444.8,3.936283185,,,,,,,,,,,,,,,,,,,"Kyle Isbel","21614",664728
"Danny Jansen","TEX",89,352,305,65,37,14,0,14,41,42,38,0,83,5,2,1,,1,0,0.213209,0.109125,0.236123,0.462153,0.309444,0.395629,0.310191,0.705072,0.182419,2.39408,0.243045,-0.394122,-0.461993,40.7729,-0.818596,99.628,-0.856115,-1.96606,-1.0104370713233948,4.9089438915252686,1.26423,999,,,,,,,362.1,4.068539325,362.1,4.068539325,,,,,,,,,,,,,,,,,,,"Danny Jansen","16535",643376
"Jonathan India","KCR",115,497,429,105,69,23,1,11,59,46,51,0,95,12,3,1,,5,2,0.243417,0.103001,0.190592,0.54043,0.337718,0.377881,0.318452,0.715599,0.134464,3.8512,0.286769,0.282566,-0.863954,60.9023,2.17789,100.897,-0.581389,-3.11354,-0.05594521760940552,-4.73853862285614,1.25962,606.1300048828125,,,,,,,527.7,4.588695652,527.7,4.588695652,,,,,,,,,,,,,,,,,,,"Jonathan India","21523",663697
"Jake Burger","TEX",138,595,549,133,78,26,1,27,70,85,32,1,147,9,4,0,,2,1,0.242219,0.0542702,0.247342,0.219414,0.293097,0.444111,0.316155,0.737207,0.201891,2.79823,0.278701,-0.131143,-0.857005,71.8015,1.49765,103.737,-0.988147,0.914799,1.6323512196540833,-9.810201585292816,1.25855,238.22000122070312,,,,,,,654.7,4.744202898,654.7,4.744202898,,,,,,,,,,,,,,,,,,,"Jake Burger","22275",669394
"Carson Williams","TBR",97,420,377,79,48,13,3,15,50,50,35,0,146,4,2,2,,12,5,0.209247,0.0838688,0.346498,0.242047,0.281809,0.378645,0.288992,0.660454,0.169399,5.946,0.291723,-0.0863198,-0.052126,41.4208,-8.20546,82.7375,-0.138446,1.96973,-8.683728218078613,6.469732761383057,1.25248,747.030029296875,,,,,,,387,3.989690721,387,3.989690721,,,,,,,,,,,,,,,,,,,"Carson Williams","30038",700246
"Nathan Lukes","TOR",68,294,264,71,50,14,1,6,35,34,24,1,46,2,2,2,,3,1,0.27017,0.0822163,0.156903,0.523994,0.334338,0.405382,0.322995,0.739719,0.135211,4.02019,0.304454,-0.00229444,-0.476412,37.1111,2.37269,107.647,-0.478707,2.57066,2.1709937751293182,-0.07933974266052246,1.2493,999,,,,,,,317.2,4.664705882,317.2,4.664705882,,,,,,,,,,,,,,,,,,,"Nathan Lukes","18123",664770
"Joc Pederson","TEX",97,420,360,85,51,15,1,18,52,53,48,2,97,9,3,0,,3,1,0.23601,0.114709,0.230185,0.498335,0.337963,0.43521,0.336512,0.773173,0.199199,3.47335,0.269512,-0.264191,-0.622669,57.625,7.99873,117.76,-0.88686,-0.000911927,7.904471039772034,-10.35091230837861,1.2287,999,,,,,,,508.3,5.240206185,508.3,5.240206185,,,,,,,,,,,,,,,,,,,"Joc Pederson","11899",592626
"Max Muncy","ATH",94,406,369,90,58,20,1,11,44,51,25,1,113,7,3,2,,4,2,0.242963,0.0623499,0.277702,0.224521,0.301566,0.393589,0.302732,0.695155,0.150626,3.70205,0.316059,0.0367484,-0.772285,44.5691,-3.40289,90.265,-0.735536,1.81549,-5.393908739089966,3.415490984916687,1.22728,726.3599853515625,,,,,,,400.1,4.256382978,400.1,4.256382978,,,,,,,,,,,,,,,,,,,"Max Muncy","29779",691777
"Isaac Collins","KCR",104,448,384,91,59,20,3,9,54,48,54,1,97,6,3,2,,15,5,0.237103,0.119866,0.216762,0.552982,0.336972,0.375614,0.316428,0.712586,0.138511,5.54897,0.291575,0.140913,-0.0475721,54.1615,1.22682,99.5025,0.0933409,1.51306,-0.1693708896636963,-3.2869365215301514,1.22398,661.8599853515625,,,,,,,479.8,4.613461538,479.8,4.613461538,,,,,,,,,,,,,,,,,,,"Isaac Collins","25477",686555
